,Post ID,Comments,,
203,Cx-3lcWPJOS,"Ok, but, when s3 Will be released? I mean, it is about time",,
204,Cx-3lcWPJOS,Its fringe cause she's bri-ish ok 😆,,
205,Cx-3lcWPJOS,We want 2nd season Lockwood&Co,,
206,Cx-3lcWPJOS,I heard y’all about to raise prices again? Yeah nah,,
207,Cx-3lcWPJOS,Omg I am so upset! I thought this was about Bridgerton☹️,,
208,Cx-3lcWPJOS,WHERE IS THE SEASON 3 TRAILER MY GOD IM SO TIRED OF BEGGING,,
209,Cx-3lcWPJOS,SEASON 3 ? 🙄,,
210,Cx-3lcWPJOS,She is awesome 😍,,
211,Cx-3lcWPJOS,She’s so good!!!,,
212,Cx-3lcWPJOS,We want 2nd season Lockwood&Co,,
213,Cx-3lcWPJOS,Ya'll should get ready for this one 📺,,
214,Cx-3lcWPJOS,Give us BRIDGERTON SEASON 3,,
215,Cx-3lcWPJOS,aspettative vs realtà,,
216,Cx-3lcWPJOS,,,
217,Cx-3lcWPJOS,❤️,,
218,Cx-3lcWPJOS,❤️,,
219,Cx-3lcWPJOS,❤️,,
220,Cx-3lcWPJOS,❤️,,
221,Cx-3lcWPJOS,,,
222,Cx-3lcWPJOS,🔥🔥🔥🔥🔥🔥🔥,,
223,Cx-3lcWPJOS,Oh so you're not allergic to posting Bridgerton photos. You're seriously ruining the season 3 experience for all the fans.,,
224,Cx-3lcWPJOS,🫂 ❤️,,
225,Cx-3lcWPJOS,🔥,,
226,Cx-3lcWPJOS,The worst movie I’ve ever seen. Hypocritical. Trashy.,,
227,Cx-3lcWPJOS,So this is what Netflix showing now. How nasty these young ppl is doing it while they on they mentral cycle? The producers of this show have no brain that is so nasty omg.,,
228,Cx-3lcWPJOS,Fuck you netflix,,
229,Cx-3lcWPJOS,@netflix  are you raising prices again next month I need to know so I can remove my account fr,,
230,Cx-3lcWPJOS,@laurenlinguist the caption 😂,,
231,Cx-3lcWPJOS,❤️❤️❤️🔥,,
232,Cx-3lcWPJOS,,,
233,Cx-3lcWPJOS,Gibt es hier einen harten Kerl?😍😍❤️🥰🥰🥰,,
234,Cx-3lcWPJOS,yas girl,,
235,Cx-3lcWPJOS,❤️❤️❤️😍😍😍😍👏👏👏👏,,
236,Cx-3lcWPJOS,❤️❤️красивый💚💚,,
237,Cx-3lcWPJOS,✨️🥰✨️🥰✨️🥰✨️🥰✨️,,
238,Cx-3lcWPJOS,L0ve,,
239,Cx-3lcWPJOS,Can you guys please bring back the OA 😢,,
240,Cx-3lcWPJOS,❤️,,
241,Cx-3lcWPJOS,top tier social media content 👏,,
242,Cx-3lcWPJOS,RAISE THE PRICE I PROMISE TO GODD IM GONE !! @netflix,,
243,Cx-3lcWPJOS,Whoulda loved to see the journey of a season 2 of Lockwood & Co ☹️,,
244,Cx-3lcWPJOS,🔥🔥🔥🔥🔥🔥🔥,,
245,Cx-3lcWPJOS,🔥🔥🔥,,
246,Cx-3lcWPJOS,Kit connor in bridgerton please,,
247,Cx-3lcWPJOS,@netflix Please make Queen Charlotte icons!!!,,
248,Cx-3lcWPJOS,This movie was obviously written and/or directed by a woman. Only watch it if you're interested in someone spending two hours reducing a man to nothing.,,
